date,value,state_id,state_name
2012-07-01,8.8,AL,Alabama
2012-08-01,8.4,AL,Alabama
2012-09-01,7.7,AL,Alabama
2012-10-01,7.6,AL,Alabama
2012-11-01,7.2,AL,Alabama
2012-12-01,7.4,AL,Alabama
2013-01-01,8.4,AL,Alabama
2013-02-01,8,AL,Alabama
2013-03-01,7.3,AL,Alabama
2013-04-01,6.6,AL,Alabama
2013-05-01,6.9,AL,Alabama
2013-06-01,7.8,AL,Alabama
2013-07-01,7.6,AL,Alabama
2013-08-01,7.5,AL,Alabama
2013-09-01,7.2,AL,Alabama
2013-10-01,7.1,AL,Alabama
2013-11-01,6.8,AL,Alabama
2013-12-01,6.8,AL,Alabama
2014-01-01,7.6,AL,Alabama
2014-02-01,7.6,AL,Alabama
2014-03-01,7.2,AL,Alabama
2014-04-01,6.2,AL,Alabama
2014-05-01,6.5,AL,Alabama
2014-06-01,7.2,AL,Alabama
2014-07-01,7.3,AL,Alabama
2014-08-01,7,AL,Alabama
2014-09-01,6.4,AL,Alabama
2014-10-01,6.2,AL,Alabama
2014-11-01,6,AL,Alabama
2014-12-01,5.8,AL,Alabama
2015-01-01,6.6,AL,Alabama
2015-02-01,6.3,AL,Alabama
2015-03-01,6,AL,Alabama
2015-04-01,5.5,AL,Alabama
2015-05-01,6,AL,Alabama
2015-06-01,6.6,AL,Alabama
2015-07-01,6.6,AL,Alabama
2015-08-01,6.3,AL,Alabama
2015-09-01,6,AL,Alabama
2015-10-01,6,AL,Alabama
2015-11-01,5.9,AL,Alabama
2015-12-01,5.9,AL,Alabama
2016-01-01,6.5,AL,Alabama
2016-02-01,6.3,AL,Alabama
2016-03-01,6.1,AL,Alabama
2016-04-01,5.4,AL,Alabama
2016-05-01,5.4,AL,Alabama
2016-06-01,6.3,AL,Alabama
2016-07-01,6.1,AL,Alabama
2016-08-01,6,AL,Alabama
2016-09-01,5.9,AL,Alabama
2016-10-01,5.9,AL,Alabama
2016-11-01,5.3,AL,Alabama
2016-12-01,5.4,AL,Alabama
2017-01-01,6,AL,Alabama
2017-02-01,5.6,AL,Alabama
2017-03-01,5,AL,Alabama
2017-04-01,4.3,AL,Alabama
2017-05-01,4.1,AL,Alabama
2017-06-01,4.9,AL,Alabama
2017-07-01,4.7,AL,Alabama
2017-08-01,4.5,AL,Alabama
2017-09-01,3.9,AL,Alabama
2017-10-01,3.8,AL,Alabama
2017-11-01,3.7,AL,Alabama
2017-12-01,3.7,AL,Alabama
2018-01-01,4.4,AL,Alabama
2018-02-01,4.4,AL,Alabama
2018-03-01,4,AL,Alabama
2018-04-01,3.5,AL,Alabama
2018-05-01,3.5,AL,Alabama
2018-06-01,4.6,AL,Alabama
2018-07-01,4.3,AL,Alabama
2018-08-01,4.1,AL,Alabama
2018-09-01,3.7,AL,Alabama
2018-10-01,3.7,AL,Alabama
2018-11-01,3.4,AL,Alabama
2018-12-01,3.6,AL,Alabama
2019-01-01,4.3,AL,Alabama
2019-02-01,3.9,AL,Alabama
2019-03-01,3.5,AL,Alabama
2019-04-01,2.8,AL,Alabama
2019-05-01,2.7,AL,Alabama
2019-06-01,3.5,AL,Alabama
2019-07-01,3.4,AL,Alabama
2019-08-01,3.2,AL,Alabama
2019-09-01,2.8,AL,Alabama
2019-10-01,2.7,AL,Alabama
2019-11-01,2.7,AL,Alabama
2019-12-01,2.8,AL,Alabama
2020-01-01,3.6,AL,Alabama
2020-02-01,3.4,AL,Alabama
2020-03-01,3.7,AL,Alabama
2020-04-01,13.1,AL,Alabama
2020-05-01,10.2,AL,Alabama
2020-06-01,9,AL,Alabama
2020-07-01,8,AL,Alabama
2020-08-01,6.4,AL,Alabama
2020-09-01,5.9,AL,Alabama
2020-10-01,4.9,AL,Alabama
2020-11-01,4.5,AL,Alabama
2020-12-01,4.3,AL,Alabama
2021-01-01,4.5,AL,Alabama
2021-02-01,4.2,AL,Alabama
2021-03-01,3.7,AL,Alabama
2021-04-01,3.2,AL,Alabama
2021-05-01,3.2,AL,Alabama
2021-06-01,4.1,AL,Alabama
2021-07-01,3.7,AL,Alabama
2021-08-01,3.5,AL,Alabama
2021-09-01,2.9,AL,Alabama
2021-10-01,2.7,AL,Alabama
2021-11-01,2.4,AL,Alabama
2021-12-01,2.3,AL,Alabama
2022-01-01,3.1,AL,Alabama
2022-02-01,2.9,AL,Alabama
2022-03-01,2.5,AL,Alabama
2022-04-01,2,AL,Alabama
2022-05-01,2.2,AL,Alabama
2022-06-01,3.2,AL,Alabama
2022-07-01,3,AL,Alabama
2022-08-01,2.9,AL,Alabama
2022-09-01,2.5,AL,Alabama
2022-10-01,2.5,AL,Alabama
2022-11-01,2.2,AL,Alabama
2022-12-01,2.2,AL,Alabama
2023-01-01,2.6,AL,Alabama
2023-02-01,2.4,AL,Alabama
1980-01-01,9.6,AK,Alaska
1980-02-01,10.4,AK,Alaska
1980-03-01,10.1,AK,Alaska
1980-04-01,10.8,AK,Alaska
1980-05-01,9.7,AK,Alaska
1980-06-01,10.2,AK,Alaska
1980-07-01,8.7,AK,Alaska
1980-08-01,8.3,AK,Alaska
1980-09-01,8.4,AK,Alaska
1980-10-01,9,AK,Alaska
1980-11-01,9.6,AK,Alaska
1980-12-01,9.4,AK,Alaska
1981-01-01,10.8,AK,Alaska
1981-02-01,10.7,AK,Alaska
1981-03-01,10.2,AK,Alaska
1981-04-01,8.7,AK,Alaska
1981-05-01,8.7,AK,Alaska
1981-06-01,9.2,AK,Alaska
1981-07-01,7.9,AK,Alaska
1981-08-01,7.6,AK,Alaska
1981-09-01,8.2,AK,Alaska
